City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Butaritari,KI,2022-11-08 23:10:00,3.0707,172.7902,80.74,75,60,10.45
68,Mar Del Plata,AR,2022-11-08 23:06:05,-38.0023,-57.5575,67.08,81,0,23.0
69,Yellowknife,CA,2022-11-08 23:10:01,62.456,-114.3525,10.56,92,100,1.99
70,Enshi,CN,2022-11-08 23:10:01,30.3,109.4833,57.0,94,45,0.96
71,Castro,BR,2022-11-08 23:10:01,-24.7911,-50.0119,56.48,74,56,2.73
72,Walvis Bay,NA,2022-11-08 23:10:02,-22.9575,14.5053,60.1,84,4,9.1
73,Thompson,CA,2022-11-08 23:06:31,55.7435,-97.8558,6.96,85,100,8.05
74,Lebu,CL,2022-11-08 23:10:03,-37.6167,-73.65,57.16,85,90,7.61
75,Krasnoselkup,RU,2022-11-08 23:10:03,65.7,82.4667,20.08,96,100,7.34
76,Kailua,US,2022-11-08 23:10:04,21.4022,-157.7394,84.9,66,97,5.01
77,Isangel,VU,2022-11-08 23:07:48,-19.55,169.2667,80.73,79,87,8.9
78,Vardo,NO,2022-11-08 23:05:29,70.3705,31.1107,39.18,81,75,11.5
79,Barrow,US,2022-11-08 23:10:04,71.2906,-156.7887,24.82,86,0,16.11
80,Port Alfred,ZA,2022-11-08 23:10:05,-33.5906,26.891,64.18,93,62,0.85
81,Saint-Philippe,RE,2022-11-08 23:10:05,-21.3585,55.7679,71.19,81,41,7.43
82,Mineros,BO,2022-11-08 23:10:05,-17.1167,-63.2333,82.74,37,15,5.08
83,Warragul,AU,2022-11-08 23:10:06,-38.1667,145.9333,79.45,49,18,0.72
84,Aksarka,RU,2022-11-08 23:10:06,66.5606,67.7975,16.61,96,100,5.75
85,Pinsk,BY,2022-11-08 23:10:07,52.1229,26.0951,43.77,92,30,7.31
86,Alta Floresta,BR,2022-11-08 23:10:07,-9.8756,-56.0861,82.15,51,70,3.89
87,Pozoblanco,ES,2022-11-08 23:09:14,38.3791,-4.8483,53.15,95,95,4.92
88,Kapaa,US,2022-11-08 23:09:03,22.0752,-159.319,80.58,77,98,4.0
89,Ocean City,US,2022-11-08 23:07:13,39.2776,-74.5746,54.99,46,21,5.01
90,Cape Town,ZA,2022-11-08 23:10:08,-33.9258,18.4232,65.37,72,62,1.01
91,Vagur,FO,2022-11-08 23:10:08,61.4732,-6.8119,48.45,88,82,14.7
92,San Andres,CO,2022-11-08 23:11:09,12.5847,-81.7006,82.58,73,16,11.41
93,Kozuchow,PL,2022-11-08 23:11:09,51.7456,15.5949,53.6,72,92,8.41
94,Cabo Rojo,PR,2022-11-08 23:11:10,18.0866,-67.1457,79.72,87,47,9.62
95,Guerrero Negro,MX,2022-11-08 23:11:10,27.9769,-114.0611,70.74,57,26,13.67
96,Atuona,PF,2022-11-08 23:07:49,-9.8,-139.0333,77.31,73,48,14.79
